
permutación 01234, P_n = 0
permutación 2403516, P_n = 6
permutación 2403561, P_n = 6
permutación 2403615, P_n = 7
permutación 2403651, P_n = 7
permutación 2405136, P_n = 6
permutación 2405163, P_n = 7
permutación 2405316, P_n = 6
permutación 2405361, P_n = 7
permutación 2405613, P_n = 6
permutación 2405631, P_n = 6
permutación 2406135, P_n = 7
permutación 2406153, P_n = 7
permutación 2406315, P_n = 7
permutación 2406351, P_n = 7
permutación 2406513, P_n = 7
permutación 2406531, P_n = 7
permutación 2410356, P_n = 4
permutación 2410365, P_n = 6
permutación 2410536, P_n = 5
permutación 2410563, P_n = 5
permutación 2410635, P_n = 6
permutación 2410653, P_n = 6
permutación 2413056, P_n = 5
permutación 2413065, P_n = 7
permutación 2413506, P_n = 6
permutación 2413560, P_n = 6
permutación 2413605, P_n = 7
permutación 2413650, P_n = 6
permutación 2415036, P_n = 6
permutación 2415063, P_n = 7
permutación 2415306, P_n = 6
permutación 2415360, P_n = 7
permutación 2415603, P_n = 6
permutación 2415630, P_n = 6
permutación 2416035, P_n = 7
permutación 2416053, P_n = 7
permutación 2416305, P_n = 7
permutación 2416350, P_n = 8
permutación 2416503, P_n = 6
permutación 2416530, P_n = 6
permutación 2430156, P_n = 4
permutación 2430165, P_n = 6
permutación 2430516, P_n = 5
permutación 2430561, P_n = 5
permutación 2430615, P_n = 7
permutación 2430651, P_n = 6
permutación 2431056, P_n = 3
permutación 2431065, P_n = 5
permutación 2431506, P_n = 5
permutación 2431560, P_n = 5
permutación 2431605, P_n = 6
permutación 2431650, P_n = 6
permutación 2435016, P_n = 6
permutación 2435061, P_n = 7
permutación 2435106, P_n = 5
permutación 2435160, P_n = 7
permutación 2435601, P_n = 6
permutación 2435610, P_n = 5
permutación 2436015, P_n = 6
permutación 2436051, P_n = 7
permutación 2436105, P_n = 5
permutación 2436150, P_n = 6
permutación 2436501, P_n = 6
permutación 2436510, P_n = 5
permutación 2450136, P_n = 5
permutación 2450163, P_n = 6
permutación 2450316, P_n = 6
permutación 2450361, P_n = 6
permutación 2450613, P_n = 6
permutación 2450631, P_n = 6
permutación 2451036, P_n = 4
permutación 2451063, P_n = 5
permutación 2451306, P_n = 5
permutación 2451360, P_n = 6
permutación 2451603, P_n = 6
permutación 2451630, P_n = 6
permutación 2453016, P_n = 5
permutación 2453061, P_n = 6
permutación 2453106, P_n = 4
permutación 2453160, P_n = 6
permutación 2453601, P_n = 6
permutación 2453610, P_n = 5
permutación 2456013, P_n = 5
permutación 2456031, P_n = 6
permutación 2456103, P_n = 4
permutación 2456130, P_n = 5
permutación 2456301, P_n = 5
permutación 2456310, P_n = 4
permutación 2460135, P_n = 6
permutación 2460153, P_n = 6
permutación 2460315, P_n = 7
permutación 2460351, P_n = 7
permutación 2460513, P_n = 7
permutación 2460531, P_n = 7
permutación 2461035, P_n = 6
permutación 2461053, P_n = 6
permutación 2461305, P_n = 7
permutación 2461350, P_n = 7
permutación 2461503, P_n = 7
permutación 2461530, P_n = 7
permutación 2463015, P_n = 7
permutación 2463051, P_n = 7
permutación 2463105, P_n = 6
permutación 2463150, P_n = 7
permutación 2463501, P_n = 7
permutación 2463510, P_n = 6
permutación 2465013, P_n = 6
permutación 2465031, P_n = 6
permutación 2465103, P_n = 5
permutación 2465130, P_n = 6
permutación 2465301, P_n = 6
permutación 2465310, P_n = 5
permutación 2501346, P_n = 4
permutación 2501364, P_n = 6
permutación 2501436, P_n = 5
permutación 2501463, P_n = 6
permutación 2501634, P_n = 6
permutación 2501643, P_n = 6
permutación 2503146, P_n = 6
permutación 2503164, P_n = 7
permutación 2503416, P_n = 6
permutación 2503461, P_n = 6
permutación 2503614, P_n = 8
permutación 2503641, P_n = 7
permutación 2504136, P_n = 6
permutación 2504163, P_n = 7
permutación 2504316, P_n = 5
permutación 2504361, P_n = 7
permutación 2504613, P_n = 7
permutación 2504631, P_n = 7
permutación 2506134, P_n = 6
permutación 2506143, P_n = 7
permutación 2506314, P_n = 7
permutación 2506341, P_n = 7
permutación 2506413, P_n = 7
permutación 2506431, P_n = 6
permutación 2510346, P_n = 4
permutación 2510364, P_n = 6
permutación 2510436, P_n = 5
permutación 2510463, P_n = 6
permutación 2510634, P_n = 5
permutación 2510643, P_n = 5
permutación 2513046, P_n = 6
permutación 2513064, P_n = 7
permutación 2513406, P_n = 5
permutación 2513460, P_n = 6
permutación 2513604, P_n = 7
permutación 2513640, P_n = 7
permutación 2514036, P_n = 6
permutación 2514063, P_n = 7
permutación 2514306, P_n = 5
permutación 2514360, P_n = 7
permutación 2514603, P_n = 8
permutación 2514630, P_n = 7
permutación 2516034, P_n = 6
permutación 2516043, P_n = 6
permutación 2516304, P_n = 7
permutación 2516340, P_n = 6
permutación 2516403, P_n = 7
permutación 2516430, P_n = 6
permutación 2530146, P_n = 6
permutación 2530164, P_n = 7
permutación 2530416, P_n = 6
permutación 2530461, P_n = 7
permutación 2530614, P_n = 7
permutación 2530641, P_n = 7
permutación 2531046, P_n = 5
permutación 2531064, P_n = 6
permutación 2531406, P_n = 6
permutación 2531460, P_n = 7
permutación 2531604, P_n = 7
permutación 2531640, P_n = 7
permutación 2534016, P_n = 5
permutación 2534061, P_n = 6
permutación 2534106, P_n = 4
permutación 2534160, P_n = 6
permutación 2534601, P_n = 6
permutación 2534610, P_n = 5
permutación 2536014, P_n = 7
permutación 2536041, P_n = 7
permutación 2536104, P_n = 6
permutación 2536140, P_n = 7
permutación 2536401, P_n = 6
permutación 2536410, P_n = 6
permutación 2540136, P_n = 4
permutación 2540163, P_n = 6
permutación 2540316, P_n = 5
permutación 2540361, P_n = 6
permutación 2540613, P_n = 6
permutación 2540631, P_n = 7
permutación 2541036, P_n = 5
permutación 2541063, P_n = 5
permutación 2541306, P_n = 5
permutación 2541360, P_n = 6
permutación 2541603, P_n = 6
permutación 2541630, P_n = 7
permutación 2543016, P_n = 4
permutación 2543061, P_n = 5
permutación 2543106, P_n = 3
permutación 2543160, P_n = 5
permutación 2543601, P_n = 6
permutación 2543610, P_n = 5
permutación 2546013, P_n = 6
permutación 2546031, P_n = 6
permutación 2546103, P_n = 6
permutación 2546130, P_n = 7
permutación 2546301, P_n = 6
permutación 2546310, P_n = 5
permutación 2560134, P_n = 5
permutación 2560143, P_n = 6
permutación 2560314, P_n = 6
permutación 2560341, P_n = 6
permutación 2560413, P_n = 7
permutación 2560431, P_n = 6
permutación 2561034, P_n = 4
permutación 2561043, P_n = 5
permutación 2561304, P_n = 6
permutación 2561340, P_n = 5
permutación 2561403, P_n = 6
permutación 2561430, P_n = 5
permutación 2563014, P_n = 6
permutación 2563041, P_n = 7
permutación 2563104, P_n = 5
permutación 2563140, P_n = 6
permutación 2563401, P_n = 6
permutación 2563410, P_n = 5
permutación 2564013, P_n = 5
permutación 2564031, P_n = 6
permutación 2564103, P_n = 6
permutación 2564130, P_n = 6
permutación 2564301, P_n = 5
permutación 2564310, P_n = 4
permutación 2601345, P_n = 4
permutación 2601354, P_n = 5
permutación 2601435, P_n = 6
permutación 2601453, P_n = 6
permutación 2601534, P_n = 6
permutación 2601543, P_n = 5
permutación 2603145, P_n = 6
permutación 2603154, P_n = 7
permutación 2603415, P_n = 6
permutación 2603451, P_n = 6
permutación 2603514, P_n = 7
permutación 2603541, P_n = 7
permutación 2604135, P_n = 7
permutación 2604153, P_n = 7
permutación 2604315, P_n = 7
permutación 2604351, P_n = 7
permutación 2604513, P_n = 7
permutación 2604531, P_n = 6
permutación 2605134, P_n = 6
permutación 2605143, P_n = 7
permutación 2605314, P_n = 7
permutación 2605341, P_n = 6
permutación 2605413, P_n = 6
permutación 2605431, P_n = 5
permutación 2610345, P_n = 4
permutación 2610354, P_n = 5
permutación 2610435, P_n = 6
permutación 2610453, P_n = 5
permutación 2610534, P_n = 5
permutación 2610543, P_n = 5
permutación 2613045, P_n = 6
permutación 2613054, P_n = 7
permutación 2613405, P_n = 6
permutación 2613450, P_n = 5
permutación 2613504, P_n = 7
permutación 2613540, P_n = 6
permutación 2614035, P_n = 7
permutación 2614053, P_n = 7
permutación 2614305, P_n = 7
permutación 2614350, P_n = 7
permutación 2614503, P_n = 7
permutación 2614530, P_n = 6
permutación 2615034, P_n = 6
permutación 2615043, P_n = 7
permutación 2615304, P_n = 7
permutación 2615340, P_n = 6
permutación 2615403, P_n = 6
permutación 2615430, P_n = 5
permutación 2630145, P_n = 6
permutación 2630154, P_n = 6
permutación 2630415, P_n = 7
permutación 2630451, P_n = 6
permutación 2630514, P_n = 7
permutación 2630541, P_n = 7
permutación 2631045, P_n = 5
permutación 2631054, P_n = 6
permutación 2631405, P_n = 7
permutación 2631450, P_n = 6
permutación 2631504, P_n = 7
permutación 2631540, P_n = 6
permutación 2634015, P_n = 6
permutación 2634051, P_n = 6
permutación 2634105, P_n = 5
permutación 2634150, P_n = 6
permutación 2634501, P_n = 5
permutación 2634510, P_n = 4
permutación 2635014, P_n = 6
permutación 2635041, P_n = 7
permutación 2635104, P_n = 6
permutación 2635140, P_n = 7
permutación 2635401, P_n = 6
permutación 2635410, P_n = 5
permutación 2640135, P_n = 6
permutación 2640153, P_n = 6
permutación 2640315, P_n = 7
permutación 2640351, P_n = 7
permutación 2640513, P_n = 7
permutación 2640531, P_n = 7
permutación 2641035, P_n = 6
permutación 2641053, P_n = 7
permutación 2641305, P_n = 7
permutación 2641350, P_n = 7
permutación 2641503, P_n = 8
permutación 2641530, P_n = 7
permutación 2643015, P_n = 6
permutación 2643051, P_n = 7
permutación 2643105, P_n = 5
permutación 2643150, P_n = 6
permutación 2643501, P_n = 6
permutación 2643510, P_n = 5
permutación 2645013, P_n = 6
permutación 2645031, P_n = 7
permutación 2645103, P_n = 6
permutación 2645130, P_n = 6
permutación 2645301, P_n = 6
permutación 2645310, P_n = 6
permutación 2650134, P_n = 4
permutación 2650143, P_n = 5
permutación 2650314, P_n = 6
permutación 2650341, P_n = 6
permutación 2650413, P_n = 6
permutación 2650431, P_n = 5
permutación 2651034, P_n = 5
permutación 2651043, P_n = 5
permutación 2651304, P_n = 6
permutación 2651340, P_n = 6
permutación 2651403, P_n = 6
permutación 2651430, P_n = 5
permutación 2653014, P_n = 6
permutación 2653041, P_n = 6
permutación 2653104, P_n = 5
permutación 2653140, P_n = 6
permutación 2653401, P_n = 5
permutación 2653410, P_n = 4
permutación 2654013, P_n = 4
permutación 2654031, P_n = 5
permutación 2654103, P_n = 5
permutación 2654130, P_n = 5
permutación 2654301, P_n = 4
permutación 2654310, P_n = 3
permutación 3012456, P_n = 2
permutación 3012465, P_n = 5
permutación 3012546, P_n = 4
permutación 3012564, P_n = 4
permutación 3012645, P_n = 4
permutación 3012654, P_n = 5
permutación 3014256, P_n = 4
permutación 3014265, P_n = 6
permutación 3014526, P_n = 4
permutación 3014562, P_n = 4
permutación 3014625, P_n = 6
permutación 3014652, P_n = 5
permutación 3015246, P_n = 5
permutación 3015264, P_n = 6
permutación 3015426, P_n = 5
permutación 3015462, P_n = 6
permutación 3015624, P_n = 6
permutación 3015642, P_n = 6
permutación 3016245, P_n = 5
permutación 3016254, P_n = 6
permutación 3016425, P_n = 6
permutación 3016452, P_n = 6
permutación 3016524, P_n = 5
permutación 3016542, P_n = 5
permutación 3021456, P_n = 3
permutación 3021465, P_n = 6
permutación 3021546, P_n = 5
permutación 3021564, P_n = 5
permutación 3021645, P_n = 5
permutación 3021654, P_n = 6
permutación 3024156, P_n = 5
permutación 3024165, P_n = 7
permutación 3024516, P_n = 5
permutación 3024561, P_n = 5
permutación 3024615, P_n = 7
permutación 3024651, P_n = 6
permutación 3025146, P_n = 6
permutación 3025164, P_n = 7
permutación 3025416, P_n = 6
permutación 3025461, P_n = 7
permutación 3025614, P_n = 6
permutación 3025641, P_n = 6
permutación 3026145, P_n = 6
permutación 3026154, P_n = 7
permutación 3026415, P_n = 7
permutación 3026451, P_n = 6
permutación 3026514, P_n = 6
permutación 3026541, P_n = 6
permutación 3041256, P_n = 4
permutación 3041265, P_n = 6
permutación 3041526, P_n = 6
permutación 3041562, P_n = 6
permutación 3041625, P_n = 7
permutación 3041652, P_n = 7
permutación 3042156, P_n = 4
permutación 3042165, P_n = 6
permutación 3042516, P_n = 6
permutación 3042561, P_n = 6
permutación 3042615, P_n = 7
permutación 3042651, P_n = 7
permutación 3045126, P_n = 4
permutación 3045162, P_n = 6
permutación 3045216, P_n = 4
permutación 3045261, P_n = 6
permutación 3045612, P_n = 4
permutación 3045621, P_n = 4
permutación 3046125, P_n = 6
permutación 3046152, P_n = 7
permutación 3046215, P_n = 6
permutación 3046251, P_n = 7
permutación 3046512, P_n = 5
permutación 3046521, P_n = 5
permutación 3051246, P_n = 5
permutación 3051264, P_n = 6
permutación 3051426, P_n = 6
permutación 3051462, P_n = 7
permutación 3051624, P_n = 7
permutación 3051642, P_n = 7
permutación 3052146, P_n = 5
permutación 3052164, P_n = 6
permutación 3052416, P_n = 6
permutación 3052461, P_n = 7
permutación 3052614, P_n = 7
permutación 3052641, P_n = 7
permutación 3054126, P_n = 5
permutación 3054162, P_n = 7
permutación 3054216, P_n = 5
permutación 3054261, P_n = 7
permutación 3054612, P_n = 6
permutación 3054621, P_n = 6
permutación 3056124, P_n = 5
permutación 3056142, P_n = 6
permutación 3056214, P_n = 6
permutación 3056241, P_n = 6
permutación 3056412, P_n = 6
permutación 3056421, P_n = 5
permutación 3061245, P_n = 5
permutación 3061254, P_n = 6
permutación 3061425, P_n = 7
permutación 3061452, P_n = 6
permutación 3061524, P_n = 7
permutación 3061542, P_n = 6
permutación 3062145, P_n = 5
permutación 3062154, P_n = 6
permutación 3062415, P_n = 7
permutación 3062451, P_n = 6
permutación 3062514, P_n = 7
permutación 3062541, P_n = 7
permutación 3064125, P_n = 6
permutación 3064152, P_n = 7
permutación 3064215, P_n = 6
permutación 3064251, P_n = 7
permutación 3064512, P_n = 6
permutación 3064521, P_n = 5
permutación 3065124, P_n = 6
permutación 3065142, P_n = 7
permutación 3065214, P_n = 5
permutación 3065241, P_n = 7
permutación 3065412, P_n = 5
permutación 3065421, P_n = 5
permutación 3102456, P_n = 3
permutación 3102465, P_n = 6
permutación 3102546, P_n = 5
permutación 3102564, P_n = 5
permutación 3102645, P_n = 5
permutación 3102654, P_n = 6
permutación 3104256, P_n = 4
permutación 3104265, P_n = 6
permutación 3104526, P_n = 4
permutación 3104562, P_n = 4
permutación 3104625, P_n = 6
permutación 3104652, P_n = 5
permutación 3105246, P_n = 5
permutación 3105264, P_n = 6
permutación 3105426, P_n = 5
permutación 3105462, P_n = 6
permutación 3105624, P_n = 5
permutación 3105642, P_n = 5
permutación 3106245, P_n = 5
permutación 3106254, P_n = 6
permutación 3106425, P_n = 6
permutación 3106452, P_n = 5
permutación 3106524, P_n = 6
permutación 3106542, P_n = 5
permutación 3120456, P_n = 4
permutación 3120465, P_n = 7
permutación 3120546, P_n = 6
permutación 3120564, P_n = 6
permutación 3120645, P_n = 6
permutación 3120654, P_n = 7
permutación 3124056, P_n = 4
permutación 3124065, P_n = 6
permutación 3124506, P_n = 4
permutación 3124560, P_n = 4
permutación 3124605, P_n = 6
permutación 3124650, P_n = 5
permutación 3125046, P_n = 6
permutación 3125064, P_n = 6
permutación 3125406, P_n = 5
permutación 3125460, P_n = 6
permutación 3125604, P_n = 6
permutación 3125640, P_n = 6
permutación 3126045, P_n = 6
permutación 3126054, P_n = 7
permutación 3126405, P_n = 6
permutación 3126450, P_n = 6
permutación 3126504, P_n = 6
permutación 3126540, P_n = 5
permutación 3140256, P_n = 5
permutación 3140265, P_n = 7
permutación 3140526, P_n = 6
permutación 3140562, P_n = 6
permutación 3140625, P_n = 7
permutación 3140652, P_n = 7
permutación 3142056, P_n = 5
permutación 3142065, P_n = 7
permutación 3142506, P_n = 6
permutación 3142560, P_n = 6
permutación 3142605, P_n = 7
permutación 3142650, P_n = 6
permutación 3145026, P_n = 5
permutación 3145062, P_n = 6
permutación 3145206, P_n = 5
permutación 3145260, P_n = 6
permutación 3145602, P_n = 5
permutación 3145620, P_n = 5
permutación 3146025, P_n = 7
permutación 3146052, P_n = 7
permutación 3146205, P_n = 7
permutación 3146250, P_n = 7
permutación 3146502, P_n = 6
permutación 3146520, P_n = 6
permutación 3150246, P_n = 6
permutación 3150264, P_n = 7
permutación 3150426, P_n = 6
permutación 3150462, P_n = 7
permutación 3150624, P_n = 7
permutación 3150642, P_n = 7
permutación 3152046, P_n = 6
permutación 3152064, P_n = 7
permutación 3152406, P_n = 6
permutación 3152460, P_n = 7
permutación 3152604, P_n = 8
permutación 3152640, P_n = 7
permutación 3154026, P_n = 5
permutación 3154062, P_n = 7
permutación 3154206, P_n = 5
permutación 3154260, P_n = 7
permutación 3154602, P_n = 7
permutación 3154620, P_n = 7
permutación 3156024, P_n = 6
permutación 3156042, P_n = 7
permutación 3156204, P_n = 6
permutación 3156240, P_n = 7
permutación 3156402, P_n = 6
permutación 3156420, P_n = 6
